nivel,umbral_min,red_cubierta_pct
egb,30,74.89348289147271
egb,60,93.99218161242018
egb,90,99.6260813999464
inicial,30,29.517796971990073
inicial,60,49.333176305320634
inicial,90,69.93925331845831
bachillerato,30,29.517796971990073
bachillerato,60,49.333176305320634
bachillerato,90,69.93925331845831
